Id,Name,Position,Team,Salary,Projected,Scored,Override,last_5,last_3,last_1,std,bucket5,bucket10,bucket15,bucket20,bucket25,bucket30,bucket35,bucket40,Home
164178,Jodie Meeks,SG,ORL,4600,19.71,32.0,0,0.0,0.0,0.0,9.53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164179,Courtney Lee,SG,NY,3700,18.98,19.25,0,23.5,18.25,24.25,9.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
164180,Marco Belinelli,SG,CHA,3500,0.0,0.0,0,15.25,13.5,9.75,9.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164181,Marcus Thornton,SG,WAS,3500,12.06,12.75,0,16.25,19.25,19.25,7.27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164182,J.R. Smith,SG,CLE,3500,0.0,0.0,0,17.75,17.75,29.75,10.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164183,Buddy Hield,SG,NO,3400,18.81,30.25,0,17.75,9.75,17.75,8.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164184,Alex Abrines,SG,OKC,3300,15.63,13.0,0,3.75,3.75,7.0,6.94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164185,Sheldon McClellan,SG,WAS,3300,2.69,0.0,0,0.0,3.5,0.0,5.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164186,Jordan McRae,SG,CLE,3300,20.22,11.25,0,0.0,0.0,0.0,6.53,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
164187,Joe Harris,SG,BKN,3200,1.81,9.25,0,15.0,13.75,15.0,8.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164188,E'Twaun Moore,SG,NO,3100,17.13,15.5,0,21.25,21.25,22.0,8.12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164189,Anthony Morrow,SG,OKC,3000,4.5,0.0,0,0.0,0.0,9.5,6.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164190,Khris Middleton,SG,MIL,3000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164191,Rashad Vaughn,SG,MIL,3000,0.0,0.0,0,12.25,12.25,12.25,7.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164192,Mike Miller,SG,DEN,3000,0.0,0.0,0,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164193,Alec Burks,SG,UTA,3000,0.0,-0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164194,Danuel House,SG,WAS,3000,0.0,0.0,0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164195,James Jones,SG,CLE,3000,1.39,5.0,0,0.0,0.0,0.0,4.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164196,Reggie Williams,SG,NO,3000,0.0,0.0,0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164197,DeAndre Liggins,SG,CLE,3000,10.94,13.25,0,0.0,0.0,0.0,6.65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
164198,Sasha Vujacic,SG,NY,3000,3.12,0.0,0,0.0,2.0,0.0,4.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164199,C.J. Wilcox,SG,ORL,3000,3.9,0.0,0,1.5,1.5,1.5,2.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164200,Ron Baker,SG,NY,3000,0.0,3.5,0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164201,Mario Hezonja,SG,ORL,3000,4.99,2.0,0,13.75,9.75,9.0,6.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164202,John Jenkins,SG,PHO,3000,0.0,0.0,0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
