Name,Team,Position,Dropped,Added,Total,Date
Ish Smith,DET , PG,747,1024,1780,2016-10-31
Matt Barnes,SAC ," SG,SF",856,5618,6476,2016-11-01
Jerami Grant,OKC ," SF,PF",182,6215,6399,2016-11-01
Thabo Sefolosha,ATL ," SG,SF",404,5362,5768,2016-11-01
Kris Dunn,MIN , PG,411,5347,5763,2016-11-01
J.J. Barea,DAL ," PG,SG",616,5105,5728,2016-11-01
Ricky Rubio,MIN , PG,4990,142,5148,2016-11-01
Patty Mills,SA , PG,997,3696,4696,2016-11-01
Sergio Rodriguez,PHI , PG,217,4412,4636,2016-11-01
Cody Zeller,CHA ," PF,C",312,3624,3940,2016-11-01
Ty Lawson,SAC , PG,2616,1151,3772,2016-11-01
Taj Gibson,CHI ," PF,C",137,3421,3570,2016-11-01
Trevor Booker,BKN , PF,1273,2206,3484,2016-11-01
Rondae Hollis-Jefferson,BKN ," SG,SF",2905,354,3267,2016-11-01
Isaiah Canaan,CHI , PG,88,3131,3219,2016-11-01
Andre Roberson,OKC ," SG,SF",390,2675,3066,2016-11-01
Mike Muscala,ATL ," PF,C",1116,1917,3033,2016-11-01
Jonathon Simmons,SA ," SG,SF",2735,277,3017,2016-11-01
Terrence Jones,NO ," SF,PF",2915,85,3004,2016-11-01
Bojan Bogdanovic,BKN ," SG,SF",297,2595,2896,2016-11-01
Michael Carter-Williams,CHI , PG,2763,26,2795,2016-11-01
Allen Crabbe,POR ," PG,SG",1012,1736,2754,2016-11-01
Joe Johnson,UTA ," SG,SF",1593,1090,2694,2016-11-01
Tyson Chandler,PHO , C,1099,1541,2642,2016-11-01
Dewayne Dedmon,SA , C,1467,1155,2624,2016-11-01
Dario Saric,PHI ," SF,PF",915,1682,2604,2016-11-01
James Ennis III,MEM ," SG,SF",897,1637,2536,2016-11-01
T.J. Warren,PHO , SF,281,2243,2530,2016-11-01
Brandon Ingram,LAL ," SG,SF",2022,453,2488,2016-11-01
Matthew Dellavedova,MIL ," PG,SG",316,2155,2480,2016-11-01
Will Barton,DEN ," SG,SF",1546,764,2317,2016-11-01
Timofey Mozgov,LAL , C,1705,600,2311,2016-11-01
Justin Hamilton,BKN ," PF,C",1984,299,2284,2016-11-01
Michael Kidd-Gilchrist,CHA , SF,1621,553,2194,2016-11-01
Mirza Teletovic,MIL ," SF,PF",1911,97,2012,2016-11-01
Tony Snell,MIL ," SG,SF",73,1919,1992,2016-11-01
Tyler Johnson,MIA ," PG,SG",440,1521,1965,2016-11-01
Sean Kilpatrick,BKN ," PG,SG",591,1319,1911,2016-11-01
Tim Hardaway Jr.,ATL ," SG,SF",1775,85,1861,2016-11-01
Kentavious Caldwell-Pope,DET , SG,201,1636,1843,2016-11-01
Lance Stephenson,NO ," SG,SF",1353,409,1763,2016-11-01
Jahlil Okafor,PHI , C,1249,447,1721,2016-11-01
Jamal Crawford,LAC ," SG,SF",500,1187,1692,2016-11-01
Marcus Morris,DET ," SF,PF",230,1446,1689,2016-11-01
Bismack Biyombo,ORL ," PF,C",1470,202,1686,2016-11-01
JaMychal Green,MEM , PF,1305,364,1679,2016-11-01
Roy Hibbert,CHA , C,1344,321,1668,2016-11-01
Al Jefferson,IND ," PF,C",1458,168,1635,2016-11-01
Willie Cauley-Stein,SAC ," PF,C",1479,137,1618,2016-11-01
Buddy Hield,NO , SG,1391,208,1607,2016-11-01
Marcus Smart,BOS , PG,613,970,1587,2016-11-01
Tyler Johnson,MIA ," PG,SG",220,8566,8789,2016-11-02
Sean Kilpatrick,BKN ," PG,SG",305,5473,5780,2016-11-02
Jerami Grant,OKC ," SF,PF",531,4919,5450,2016-11-02
Matthew Dellavedova,MIL ," PG,SG",208,4247,4465,2016-11-02
Sergio Rodriguez,PHI , PG,328,3877,4210,2016-11-02
C.J. Miles,IND ," SG,SF",109,4000,4110,2016-11-02
Will Barton,DEN ," SG,SF",3436,547,3997,2016-11-02
Timofey Mozgov,LAL , C,3593,128,3728,2016-11-02
Kris Dunn,MIN , PG,261,3220,3486,2016-11-02
Trevor Booker,BKN , PF,2096,1281,3388,2016-11-02
Brandon Ingram,LAL ," SG,SF",3003,286,3301,2016-11-02
Ty Lawson,SAC , PG,2392,788,3193,2016-11-02
Andre Roberson,OKC ," SG,SF",674,2495,3170,2016-11-02
J.J. Barea,DAL ," PG,SG",1070,2084,3157,2016-11-02
Cody Zeller,CHA ," PF,C",638,2443,3086,2016-11-02
Dario Saric,PHI ," SF,PF",330,2660,2996,2016-11-02
Marcus Morris,DET ," SF,PF",170,2772,2953,2016-11-02
Thabo Sefolosha,ATL ," SG,SF",853,2059,2914,2016-11-02
