Date,Player,Pos,Salary,Predicted,Scored,Team,Iteration
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,28
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,28
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,28
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,28
Dec102016,Wesley Matthews,SG,5300,30.89,37.25,DAL,28
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,28
Dec102016,Damian Lillard,PG,8400,47.47,51.75,POR,28
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,28
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,29
Dec102016,Cody Zeller,C,4100,21.43,32.75,CHA,29
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,29
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,29
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,29
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,29
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,29
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,29
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,30
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,30
Dec102016,Mirza Teletovic,PF,3000,7.07,33.25,MIL,30
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,30
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,30
Dec102016,Tim Frazier,PG,5700,23.78,38.25,NO,30
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,30
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,30
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,31
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,31
Dec102016,Mirza Teletovic,PF,3000,7.07,33.25,MIL,31
Dec102016,Jimmy Butler,SG/SF,8200,45.55,52.25,CHI,31
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,31
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,31
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,31
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,31
Dec102016,Nikola Jokic,C,5200,32.32,36.0,DEN,32
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,32
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,32
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,32
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,32
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,32
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,32
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,32
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,33
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,33
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,33
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,33
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,33
Dec102016,Austin Rivers,PG,3200,15.5,30.0,LAC,33
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,33
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,33
Dec102016,Marc Gasol,C,7900,42.41,44.0,MEM,34
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,34
