Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Team1,Team2,Team3,Team4,Team5,Team6,Team7,Team8,Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Projected Value,Actual Scored,Iteration,date,Date
Draymond Green,Joe Ingles,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Jameer Nelson,Marc Gasol,Rudy Gobert,GS,UTA,TOR,PHI,CHI,DEN,MEM,UTA,PF/C,SF,PG,PF,PG,PG,C,C,7300,3400,8200,5700,5700,4700,7700,6700,275.47,349.25,38,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Kyle Lowry,Rajon Rondo,Jameer Nelson,Marc Gasol,Rudy Gobert,GS,UTA,MIN,TOR,CHI,DEN,MEM,UTA,PF/C,SF,SG,PG,PG,PG,C,C,7300,3400,6100,8200,5700,4700,7700,6700,272.73,349.25,37,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Zach LaVine,Tony Allen,Ersan Ilyasova,Rajon Rondo,Kevin Durant,Marc Gasol,GS,UTA,MIN,MEM,PHI,CHI,GS,MEM,PF/C,SF,SG,SG,PF,PG,SF/PF,C,7300,3400,6100,4300,5700,5700,9300,7700,257.14,349.25,36,Dec82016,2016-12-08
Draymond Green,Joe Ingles,DeMar DeRozan,Ersan Ilyasova,Rajon Rondo,Sergio Rodriguez,Marc Gasol,Rudy Gobert,GS,UTA,TOR,PHI,CHI,PHI,MEM,UTA,PF/C,SF,SG,PF,PG,PG,C,C,7300,3400,8100,5700,5700,5100,7700,6700,268.03,349.25,35,Dec82016,2016-12-08
Draymond Green,Joe Ingles,DeMar DeRozan,Tony Allen,Kyle Lowry,Ersan Ilyasova,Marc Gasol,Jonas Valanciunas,GS,UTA,TOR,MEM,TOR,PHI,MEM,TOR,PF/C,SF,SG,SG,PG,PF,C,C,7300,3400,8100,4300,8200,5700,7700,4900,254.32,349.0,40,Dec82016,2016-12-08
Draymond Green,Joe Ingles,DeMar DeRozan,Tony Allen,Kyle Lowry,Rajon Rondo,Marc Gasol,Jonas Valanciunas,GS,UTA,TOR,MEM,TOR,CHI,MEM,TOR,PF/C,SF,SG,SG,PG,PG,C,C,7300,3400,8100,4300,8200,5700,7700,4900,254.9,349.0,41,Dec82016,2016-12-08
Draymond Green,Joe Ingles,DeMar DeRozan,Zach LaVine,Tony Allen,Kyle Lowry,Marc Gasol,Jonas Valanciunas,GS,UTA,TOR,MIN,MEM,TOR,MEM,TOR,PF/C,SF,SG,SG,SG,PG,C,C,7300,3400,8100,6100,4300,8200,7700,4900,251.58,349.0,42,Dec82016,2016-12-08
Draymond Green,Joe Ingles,Kyle Lowry,Ersan Ilyasova,Rajon Rondo,Rudy Gobert,Jonas Valanciunas,Kawhi Leonard,GS,UTA,TOR,PHI,CHI,UTA,TOR,SA,PF/C,SF,PG,PF,PG,C,C,SF,7300,3400,8200,5700,5700,6700,4900,7900,258.13,349.0,43,Dec82016,2016-12-08
Draymond Green,Joe Ingles,DeMar DeRozan,Kyle Lowry,Langston Galloway,Ersan Ilyasova,Rajon Rondo,Marc Gasol,GS,UTA,TOR,TOR,NO,PHI,CHI,MEM,PF/C,SF,SG,PG,PG/SG,PF,PG,C,7300,3400,8100,8200,3800,5700,5700,7700,270.38,349.0,44,Dec82016,2016-12-08
Draymond Green,Joe Ingles,DeMar DeRozan,Tony Allen,Kyle Lowry,Shelvin Mack,Marc Gasol,Rudy Gobert,GS,UTA,TOR,MEM,TOR,UTA,MEM,UTA,PF/C,SF,SG,SG,PG,PG,C,C,7300,3400,8100,4300,8200,4100,7700,6700,263.78,348.75,48,Dec82016,2016-12-08
