Name,Team,Position,Dropped,Added,Total,Date,Net
Taj Gibson,CHI ," PF,C",135,2065,2214,2016-11-02,1930
Tyson Chandler,PHO , C,561,1614,2180,2016-11-02,1053
Robert Covington,PHI ," SF,PF",1952,197,2156,2016-11-02,-1755
Kentavious Caldwell-Pope,DET , SG,172,1894,2076,2016-11-02,1722
Tim Frazier,NO ," PG,SG",288,1749,2047,2016-11-02,1461
Michael Kidd-Gilchrist,CHA , SF,1260,747,2023,2016-11-02,-513
Justin Hamilton,BKN ," PF,C",1721,252,1974,2016-11-02,-1469
Dewayne Dedmon,SA , C,1673,283,1960,2016-11-02,-1390
Ersan Ilyasova,PHI ," SF,PF",391,1508,1903,2016-11-02,1117
T.J. Warren,PHO , SF,182,1703,1900,2016-11-02,1521
Roy Hibbert,CHA , C,1606,269,1882,2016-11-02,-1337
James Ennis III,MEM ," SG,SF",1253,626,1880,2016-11-02,-627
Marcus Smart,BOS , PG,573,1275,1851,2016-11-02,702
Buddy Hield,NO , SG,1330,503,1838,2016-11-02,-827
Lance Stephenson,NO ," SG,SF",1194,570,1768,2016-11-02,-624
Lou Williams,LAL ," PG,SG",454,1286,1744,2016-11-02,832
JaMychal Green,MEM , PF,1315,385,1709,2016-11-02,-930
Bismack Biyombo,ORL ," PF,C",1381,311,1708,2016-11-02,-1070
Jake Layman,POR , PF,119,1551,1670,2016-11-02,1432
Sean Kilpatrick,BKN ," PG,SG",212,17870,18083,2016-11-03,17658
Jaylen Brown,BOS , SF,329,7160,7490,2016-11-03,6831
Amir Johnson,BOS ," PF,C",1104,6145,7250,2016-11-03,5041
Tyson Chandler,PHO , C,253,5538,5794,2016-11-03,5285
Tyler Johnson,MIA ," PG,SG",285,4341,4628,2016-11-03,4056
Will Barton,DEN ," SG,SF",4230,363,4611,2016-11-03,-3867
Alex Len,PHO ," PF,C",256,3948,4206,2016-11-03,3692
James Ennis III,MEM ," SG,SF",333,3866,4205,2016-11-03,3533
Matt Barnes,SAC ," SG,SF",3397,622,4027,2016-11-03,-2775
Trevor Booker,BKN , PF,2758,877,3643,2016-11-03,-1881
Lou Williams,LAL ," PG,SG",239,3369,3613,2016-11-03,3130
Andre Roberson,OKC ," SG,SF",3086,464,3551,2016-11-03,-2622
Matthew Dellavedova,MIL ," PG,SG",1001,2355,3377,2016-11-03,1354
J.J. Barea,DAL ," PG,SG",979,2208,3193,2016-11-03,1229
C.J. Miles,IND ," SG,SF",721,2449,3173,2016-11-03,1728
Marcus Morris,DET ," SF,PF",127,2943,3080,2016-11-03,2816
Jrue Holiday,NO , PG,373,2697,3072,2016-11-03,2324
Brandon Ingram,LAL ," SG,SF",2864,150,3030,2016-11-03,-2714
Rondae Hollis-Jefferson,BKN ," SG,SF",2699,276,2979,2016-11-03,-2423
Marcus Smart,BOS , PG,533,2238,2775,2016-11-03,1705
Timofey Mozgov,LAL , C,2605,84,2693,2016-11-03,-2521
Jerami Grant,OKC ," SF,PF",2322,364,2691,2016-11-03,-1958
T.J. Warren,PHO , SF,78,2530,2624,2016-11-03,2452
Jeremy Lin,BKN ," PG,SG",2452,72,2551,2016-11-03,-2380
Ricky Rubio,MIN , PG,2144,268,2438,2016-11-03,-1876
Joe Johnson,UTA ," SG,SF",1025,1371,2407,2016-11-03,346
Ty Lawson,SAC , PG,1911,487,2406,2016-11-03,-1424
Mike Muscala,ATL ," PF,C",1672,678,2354,2016-11-03,-994
Roy Hibbert,CHA , C,2112,174,2292,2016-11-03,-1938
